Adresse,Nombre de pièces,Époque de construction,Type de location,Loyer minimum (€/m²),Loyer médian (€/m²),Loyer maximum (€/m²)
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,avant 1946,meublée,20.6,29.4,35.3
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,avant 1946,non meublée,18.1,25.8,31.0
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,1946-1970,meublée,20.4,29.2,35.0
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,1946-1970,non meublée,18.3,26.1,31.3
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,1971-1990,meublée,19.4,27.7,33.2
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,1971-1990,non meublée,18.9,27,32.4
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,après 1990,meublée,20.4,29.2,35.0
"Rue Barrelet de Ricou, 75119 Paris",1 pièce,après 1990,non meublée,17.4,24.9,29.9
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,avant 1946,meublée,19.0,27.1,32.5
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,avant 1946,non meublée,16.4,23.4,28.1
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,1946-1970,meublée,14.2,20.3,24.4
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,1946-1970,non meublée,14.2,20.3,24.4
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,1971-1990,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,1971-1990,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,après 1990,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",2 pièces,après 1990,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,avant 1946,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,avant 1946,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,1946-1970,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,1946-1970,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,1971-1990,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,1971-1990,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,après 1990,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",3 pièces,après 1990,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,avant 1946,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,avant 1946,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,1946-1970,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,1946-1970,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,1971-1990,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,1971-1990,non meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,après 1990,meublée,13.4,19.1,22.9
"Rue Barrelet de Ricou, 75119 Paris",4 pièces et plus,après 1990,non meublée,13.4,19.1,22.9
"Rue de Buzenval, 75120 Paris",1 pièce,avant 1946,meublée,21.8,31.1,37.3
"Rue de Buzenval, 75120 Paris",1 pièce,avant 1946,non meublée,19.1,27.3,32.8
"Rue de Buzenval, 75120 Paris",1 pièce,1946-1970,meublée,17.7,25.3,30.4
"Rue de Buzenval, 75120 Paris",1 pièce,1946-1970,non meublée,18.6,26.6,31.9
"Rue de Buzenval, 75120 Paris",1 pièce,1971-1990,meublée,19.9,28.4,34.1
"Rue de Buzenval, 75120 Paris",1 pièce,1971-1990,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",1 pièce,après 1990,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",1 pièce,après 1990,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,avant 1946,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,avant 1946,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,1946-1970,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,1946-1970,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,1971-1990,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,1971-1990,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,après 1990,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",2 pièces,après 1990,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,avant 1946,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,avant 1946,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,1946-1970,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,1946-1970,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,1971-1990,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,1971-1990,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,après 1990,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",3 pièces,après 1990,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,avant 1946,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,avant 1946,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,1946-1970,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,1946-1970,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,1971-1990,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,1971-1990,non meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,après 1990,meublée,17.4,24.9,29.9
"Rue de Buzenval, 75120 Paris",4 pièces et plus,après 1990,non meublée,17.4,24.9,29.9
"Rue Carolus Duran, 75119 Paris",1 pièce,avant 1946,meublée,21.8,31.1,37.3
"Rue Carolus Duran, 75119 Paris",1 pièce,avant 1946,non meublée,19.1,27.3,32.8
"Rue Carolus Duran, 75119 Paris",1 pièce,1946-1970,meublée,17.9,25.5,30.6
"Rue Carolus Duran, 75119 Paris",1 pièce,1946-1970,non meublée,17.9,25.5,30.6
"Rue Carolus Duran, 75119 Paris",1 pièce,1971-1990,meublée,19.0,27.2,32.6
"Rue Carolus Duran, 75119 Paris",1 pièce,1971-1990,non meublée,15.2,21.7,26.0
"Rue Carolus Duran, 75119 Paris",1 pièce,après 1990,meublée,19.0,27.2,32.6
"Rue Carolus Duran, 75119 Paris",1 pièce,après 1990,non meublée,18.2,26,31.2
"Rue Carolus Duran, 75119 Paris",2 pièces,avant 1946,meublée,19.0,27.1,32.5
"Rue Carolus Duran, 75119 Paris",2 pièces,avant 1946,non meublée,17.2,24.6,29.5
"Rue Carolus Duran, 75119 Paris",2 pièces,1946-1970,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",2 pièces,1946-1970,non meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",2 pièces,1971-1990,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",2 pièces,1971-1990,non meublée,15.7,22.4,26.9
