name,latitude,longitude,type
Notre-Dame,48.851834,2.3500556,ferry_terminal
Unknown,48.8629885,2.2614737,ferry_terminal
Unknown,48.8633659,2.2604736,ferry_terminal
Relais Total Du Pont Aval,48.8346767,2.266146,fuel
Relais des Chaufourniers,48.8801814,2.3707442,fuel
Paris 17 Wagram,48.8832844,2.3022074,post_office
Edmond Rostand,48.8883391,2.3034488,library
Paris École Militaire,48.85562,2.3068506,post_office
Paris Duhesme,48.8950117,2.3447919,post_office
Total,48.8315802,2.3158225,fuel
Unknown,48.8377213,2.3123754,bench
Haltes-garderie municipale,48.8314626,2.3165971,kindergarten
The Village Terrazza,48.8298353,2.3228662,restaurant
Le Severo,48.8319911,2.3245334,restaurant
Parking Alban Satragne - Magenta,48.8758196,2.3557131,parking
Unknown,48.8304021,2.3248398,school
Paris Sentier,48.8672995,2.3458554,post_office
Unknown,48.8730354,2.3533915,parking
Police nationale,48.8510673,2.3670936,police
Parking Hôtel de Ville,48.8569481,2.3497138,parking
Lobau Rivoli,48.8562998,2.3535246,parking_entrance
Synagogue Beit Yossef,48.8569724,2.3588681,place_of_worship
Synagogue,48.8570939,2.35923,place_of_worship
Unknown,48.8706615,2.3508326,post_box
Gaumont Aquaboulevard,48.8307302,2.276181,cinema
Bibliothèque Vaugirard,48.8417871,2.2993261,library
Parking Lecourbe - Mairie du XVème,48.8414636,2.2996634,parking_entrance
Maubert Collège des Bernardins,48.8494609,2.3513201,parking_entrance
Marché Saint-Germain,48.8521302,2.3358217,parking
Ohaley Yaakov,48.8792943,2.3753509,place_of_worship
Lutèce,48.8553332,2.3464366,parking_entrance
Saint-Michel,48.8528687,2.3435246,parking
Parking Quai branly-Tour Eiffel,48.8614418,2.2990188,parking
Sèvres-Babylone,48.8513763,2.3250565,parking
Unknown,48.8393301,2.3500747,fountain
Saint-Sulpice,48.8511618,2.3332375,parking_entrance
Parking Bastille,48.8496512,2.3682504,parking
Bar Hemingway,48.8687856,2.3275106,bar
Uno,48.8618492,2.3434997,restaurant
Juvénile's,48.8663165,2.3370822,bar
La Crypte Polska,48.8672925,2.3255509,restaurant
Le Café Marly,48.8616428,2.3359304,cafe
Mystery Cuisine,48.8659,2.337242,restaurant
Chez Denise,48.8615239,2.3440891,restaurant
La Robe et le Palais,48.8586437,2.3458501,restaurant
Willi's Wine Bar,48.8663449,2.3382902,bar
Macéo,48.8663903,2.3380844,restaurant
Le Petit Marché,48.8572887,2.3660498,restaurant
Café des Musées,48.8580708,2.3643313,restaurant
Les Arts et Métiers,48.865451,2.3553243,cafe
Camille,48.8577772,2.3607273,restaurant
Les Enfants Rouges,48.8630297,2.3612527,restaurant
404,48.864464,2.3543053,restaurant
Paris Gobelins,48.8357948,2.3528766,post_office
Parking Aquaboulevard,48.8327885,2.2772902,parking_entrance
Paris Odéon / Beaux-Arts,48.8522942,2.3407175,post_office
Parking Gaité-Montparnasse,48.8376583,2.3201789,parking
Onhà Dô,48.8483768,2.3739692,restaurant
Paris Pernety / Plaisance,48.8346222,2.3173283,post_office
Paris Denfert-Rochereau,48.8319392,2.3309271,post_office
Rennes Montparnasse,48.8450213,2.3253519,parking
Paris Littré,48.844537,2.3242619,post_office
Paris Volontaires / François Bonvin,48.8414313,2.3069539,post_office
Unknown,48.8396496,2.3011079,post_box
Unknown,48.8381761,2.3022128,post_office
Lémoni Café,48.8648091,2.3411291,restaurant
Rani Mahal,48.8687993,2.3373273,restaurant
O' Scià,48.8648222,2.3475072,restaurant
Café Moderne,48.8689038,2.3422059,restaurant
Harry's Bar,48.8692089,2.3321714,bar
Le Café Noir,48.8663473,2.3443206,cafe
Holy Ramen,48.860997,2.3544354,restaurant
Le Loir dans la Théière,48.8562335,2.3610458,cafe
La Perla,48.8557588,2.3561398,restaurant
L'Excuse,48.8533876,2.3620076,restaurant
Pizzou,48.8575825,2.3562566,restaurant
Chez Marianne,48.8577309,2.3586364,restaurant
