commune_nom;voie_nom;commune_insee
Paris;Rue Barrelet de Ricou;75119
Paris;Rue de Buzenval;75120
Paris;Rue Carolus Duran;75119
Paris;Impasse des Trois Soeurs;75111
Paris;Rue Marcadet;75118
Paris;Rue de Tracy;75102
Paris;Rue de Sévigné;75103
Paris;Rue de Turenne;75103
Paris;Square de Rocamadour;75116
Paris;Avenue du Maréchal Franchet d'Espérey;75116
Paris;Boulevard de Charonne;75120
Paris;Place de la Réunion;75120
Paris;Rue Myrha;75118
Paris;Rue Beauregard;75102
Paris;Rue de la Coutellerie;75104
Paris;Rue Lacordaire;75115
Paris;Rue des Bauches;75116
Paris;Avenue Théodore Rousseau;75116
Paris;Rue Etienne Marey;75120
Paris;Rue Hermel;75118
Paris;Rue d'Avron;75120
Paris;Rue de la Plaine;75120
Paris;Rue des Haies;75120
Paris;Passage de Lagny;75120
Paris;Boulevard Davout;75120
Paris;Rue du Plateau;75119
Paris;Rue Cardinet;75117
Paris;Rue de la Glacière;75113
Paris;Square des Peupliers;75113
Paris;Rue du Docteur Lucas-Championnière;75113
Paris;Avenue d'Italie;75113
Paris;Rue du Cherche-Midi;75106
Paris;Rue Dupin;75106
Paris;Rue Saint-Laurent;75110
Paris;Rue Moncey;75109
Paris;Rue Pétion;75111
Paris;Rue de Meaux;75119
Paris;Cité Beauharnais;75111
Paris;Rue Baudoin;75113
Paris;Rue Saint-Sabin;75111
Paris;Rue Charles Marie Widor;75116
Paris;Rue du Moulin des Prés;75113
Paris;Rue Bobillot;75113
Paris;Boulevard Raspail;75114
Paris;Rue Desgenettes;75107
Paris;Passage Landrieu;75107
Paris;Boulevard de Magenta;75110
Paris;Rue du Faubourg du Temple;75110
Paris;Rue de Dunkerque;75109
Paris;Place Nationale;75113
Paris;Rue Saint-Bernard;75111
Paris;Rue de Reuilly;75112
Paris;Rue Claude Decaen;75112
Paris;Boulevard Arago;75113
Paris;Rue de Châlon;75112
Paris;Rue Villiot;75112
Paris;Rue Chevert;75107
Paris;Avenue Emile Deschanel;75107
Paris;Rue Richer;75109
Paris;Passage Hébrard;75110
Paris;Rue Amelot;75111
Paris;Rue de l'Amiral Mouchez;75114
Paris;Villa Poirier;75115
Paris;Avenue de la Grande Armée;75117
Paris;Rue de Grenelle;75107
Paris;Boulevard des Invalides;75107
Paris;Place de Joinville;75119
Paris;Rue de Varenne;75107
Paris;Rue de Chaumont;75119
Paris;Rue du Buisson Saint-Louis;75110
Paris;Passage du Buisson Saint-Louis;75110
Paris;Rue Tourneux;75112
Paris;Avenue Niel;75117
Paris;Rue des Orteaux;75120
Paris;Rue Dupont de l'Eure;75120
Paris;Rue des Pyrénées;75120
Paris;Rue du Moulin Joly;75111
Paris;Rue Cels;75114
Paris;Rue Amélie;75107
Paris;Avenue Matignon;75108
Paris;Square du Roule;75108
Paris;Boulevard de la Villette;75110
Paris;Rue Robert Blache;75110
Paris;Rue Bichat;75110
Paris;Quai de Jemmapes;75110
Paris;Quai de Valmy;75110
Paris;Rue Erard;75112
Paris;Boulevard Diderot;75112
Paris;Rue de Bagnolet;75120
Paris;Villa du Progrès;75119
Paris;Rue de la Procession;75115
Paris;Rue du Faubourg Saint-Honoré;75108
Paris;Allée Paul Deschanel;75107
Paris;Rue Louis Blanc;75110
Paris;Rue Rottembourg;75112
Paris;Rue Yves Toudic;75110
Paris;Cité Durmar;75111
Paris;Rue de Charenton;75112
Paris;Rue Jorge Semprun;75112
